Name,Rating,Price
Hibiki Harmony,4,75.5
Suntory Toki,4,27.95
Kanosuke Single Malt 2023 Limited Edition,5,150.0
Yamazaki 18 Year Old Gift Box,,600.0
Hibiki 17 Year Old Whisky,5,795.0
Hibiki 21 Year Old,5,750.0
Nikka Coffey Grain Whisky,4.5,61.95
Yamazaki Distiller's Reserve,4.5,80.95
Yamazaki 12 Year Old,4.5,138.0
Hakushu Distiller's Reserve,4.5,69.75
The House of Suntory Trilogy Pack 3x20cl,,29.95
Mars Komagatake 2017 7 Year Old Yakushima Ageing TWE Exclusive,,225.0
Togouchi Single Malt,5,67.25
Hakushu 12 Year Old 100th Anniversary,,180.0
Fuji Single Blended Whisky,5,58.75
Kaiyo Mizunara Oak,5,77.5
Yoichi Single Malt,4.5,79.5
Matsui Mizunara Kurayoshi Distillery,,119.0
Yamazaki 12 Year Old 100th Anniversary,5,183.0
Hakushu 12 Year Old,4.5,161.0
Akashi 5 Year Old Sherry Cask,5,121.0
Fuji Single Malt Whisky,4.5,71.75
Hibiki Harmony 100th Anniversary,,345.0
Yoichi 10 Year Old,4,145.0
Nikka Coffey Grain Whisky & 2 Glass Gift Set,,64.75
Hibiki Blossom Harmony Bot.2022,,225.0
Ichiro's Malt Double Distilleries 2021 (Chichibu x Komagatake),,250.0
Suntory Toki Black,4,37.5
Kaiyo Mizunara Oak Cask Strength,5,101.0
Akashi Blended Sherry Cask Finish,,39.5
Matsui Sakura Kurayoshi Distillery,,119.0
Chichibu Red Wine Cask 2023,5,235.0
Fuji Single Grain Whiskey,5,62.95
Kanosuke Hioki Pot Still,,94.95
Yamazaki Peated Malt Spanish Oak Kogei Collection,,195.0
Chichibu London Edition 2024,5,350.0
Kanosuke 2020 1st Fill Bourbon Cask #20496 Exclusive to The Whisky Exchange,,165.0
Mars Komagatake 2022 Edition,,130.0
Kanosuke Single Malt 2022 Limited Edition,,150.0
Matsui Peated Kurayoshi Distillery,,120.0
Kanosuke Double Distillery Blended Whisky,,98.95
Mars Tsunuki 2022 Edition,,132.0
Chichibu The Peated 2022,,199.0
Kaiyo Peated Mizunara Oak,,98.25
Miyagikyo Single Malt,4.5,79.5
Shizuoka Single Malt Prologue W,,74.95
Chichibu On the Way Bot.2024,,275.0
Shizuoka Single Malt Prologue K,,74.95
Hatozaki Triple Cask Reserve Umeshu Cask Finish,,61.25
Fuji 50th Anniversary Edition Single Blended Whisky,,475.0
Fuji 50th Anniversary Edition Single Grain Whisky,,475.0
Fuji 50th Anniversary Edition Single Malt Whisky,,475.0
Mars Malt Duo Tsunuki x Akkeshi,,187.0
Yamazaki 25 Year Old Mizunara,,9.0
Yamazaki 18 Year Old Mizunara,,1.0
Karuizawa Marriage 1965+1972 50 Year Old,,39.0
Yamazaki 10 Year Old,,550.0
Yamazaki 10 Year Old,,550.0
Suntory Tsukuriwake Cask Collection 2024 4 Bottles,4.5,3.0
Akashi Single Malt 5 Year Old Bourbon Cask,,124.0
Yamazaki 18 Year Old Mizunara Tsukuriwake 2024,5,1.0
Hakushu 18 Year Old Peated Tsukuriwake 2024,,1.0
Kaiyo The Unicorn 10 Year Old,,132.0
Kaiyo The Rye 10 Year Old,,105.0
Kaiyo The Ramu 8 Year Old,,82.25
Ichiro's Malt & Grain Japanese Blended Whisky 2023,,1.0
Karuizawa 1999 Artist #13 Spirits Shop Selection for LMDW,,4.0
Yamazaki 18 Year Old Bot.1990s,,3.0
Yoichi 1989 20 Year Old,,5.0
Hibiki 21 Year Old Mizunara 100th Anniversary,,5.0
Nagahama 2018 3 Year Old Bourbon Heavily Peated Cask #314,,210.0
Kanosuke Single Malt,5,89.95
Karuizawa Once in a Lifetime,,19.0
Hakushu 18 Year Old Peated Malt 100th Anniversary,,1.0
Yamazaki 18 Year Old Mizunara 100th Anniversary,,1.0
Mars The Y.A. #1,,139.0
Karuizawa 40 Year Old Platinum Geisha,,29.0
Karuizawa 38 Year Old Platinum Geisha,,25.0
Yoichi 10 Year Old Gift Box,,145.0
Yamazaki 1986 Vintage Malt Bot.2004,,15.0
Miyagikyo Aromatic Yeast Discovery Series 2022,,238.0
Karuizawa 50 Year Old 1965 Vintage,,40.0
Shirakawa 1958,5,25.0
Hakushu 1988 Vintage Malt Bot.2004,,7.0
Hakushu 1981 Vintage Malt Sherry Cask Bot.2004,,10.0
Chichibu London Edition 2022,5,500.0
Mars Komagatake 2021 Edition,,129.0
Yamazaki Peated Malt 2022 Edition,,695.0
Yamazaki Spanish Oak 2022 Edition,,1.0
Yamazaki Puncheon 2022 Edition,4,695.0
Yamazaki Mizunara 2022 Edition,,1.0
Yamazaki Tsukuriwake Cask Collection 2022 Set of 4 Bottles,,5.0
Shizuoka Contact S Single Malt 3 Year Old,,150.0
Shizuoka Single Malt Prologue K and Prologue W 2x20cl,,150.0
Yamazaki 25 Year Old,,5.0
Chichibu London Edition 2021,,500.0
Yamazaki 1998 Bot.2013 Cask CU70095,,9.0
Yamazaki 1998 Bot.2012 Cask CU70093,,9.0
Yamazaki 1998 Bot.2012 Cask CU70066,,7.0
Yamazaki 1998 Bot.2013 Cask CM70012,,10.0
Yamazaki 1996 Bot.2011 Cask AX70015,,9.0
Yamazaki 1986 Vintage Malt Bot.2005,,15.0
Hakushu 1988 Vintage Malt Bot.2005,,7.0
Hakushu 1982 Vintage Malt Bot.2004,,10.0
SMWS 116.19 (Yoichi) 1994 20 Year Old,,3.0
SMWS 116.12 (Yoichi) 1986 21 Year Old,,5.0
SMWS 116.10 (Yoichi) 1987 18 Year Old,,5.0
Yoichi 1999 Cask 403026,,5.0
Yoichi 2000 20 Year Old Anniversary Blend ltd Edition,,5.0
Karuizawa 1995 15 Year Old Distillery Exclusive Cask #2034,,10.0
Karuizawa 1994 16 Year Old Distillery Exclusive Cask #7487,,10.0
Karuizawa 1993 17 Year Old Distillery Exclusive Cask #7724,,10.0
Karuizawa 1992 18 Year Old Distillery Exclusive Cask #3273,,10.0
Karuizawa 1991 19 Year Old Distillery Exclusive Cask #7637,,10.0
Karuizawa 1990 20 Year Old Distillery Exclusive Cask #2321,,10.0
Nikka Miyagikyo Peated Discovery Series 2021,4,235.0
Nikka Yoichi Non-Peated Discovery Series 2021,,235.0
Karuizawa 34 Year Old Cask #3668 Ruby Geisha,,24.0
Karuizawa 1999 LMDW Artist International 10th Anniversary Cask #872,,6.0
Chichibu London Edition 2023,5,360.0
Yamazakura Asaka Single Malt 2023 Release,,127.0
Chichibu 10 Year Old The First Ten,5,1.0
Hibiki Harmony 2021 Limited Edition Design,5,750.0
Akashi 6 Year Old White Wine Cask,,140.0
Ichiro's Malt & Grain Japanese Blended Whisky 2019,,2.0
Hibiki 30 Year Old,,4.0
Ichiro's Malt & Grain Japanese Blended Whisky 2021,,1.0
Ichiro's Malt Double Distilleries (46.5%),4.5,94.95
Yamazaki 12 Year Old Bot.1990s,,450.0
Nikka 70th Anniversary 12 Year Old 4 Bottles,,6.0
The Chita Distiller's Reserve,5,50.5
Yamazaki 12 Year Old Bot.1990s,,450.0
Yamazaki Mizunara 18 Year Old 2017 Edition,,10.0
Akashi 5 Year Old Red Wine Cask 61891,,158.0
Karuizawa 1970 Cask 1985,,30.0
Yamazaki 1984 Sherry Wood 15 Year Old,,17.0
Yamazaki Islay Peated Tsukuriwake 2024,,450.0
Yamazaki Golden Promise Tsukuriwake 2024,,450.0
Nikka The Grain Discovery Series 2023,,150.0
Akashi Single Malt Whisky,5,71.75
Karuizawa 1984 Bot.2014 Sherry Cask #3657,,15.0
Karuizawa 1983 The White Samurai Sherry Cask Bot.2014,5,12.0
Karuizawa 1981 Bot.2014 Sherry Cask,,15.0
Hibiki 12 Year Old Half Litre,5,600.0
SMWS 116.1 (Yoichi) 1986 16 Year Old,,5.0
Karuizawa Spirit of Asama 48%,,4.0
Yoichi 1990 20 Year Old,,4.0
Yoichi Aromatic Yeast Discovery Series 2022,,238.0
Hakushu 10 Year Old,5,600.0
Hakushu 25 Year Old,,4.0
Yoichi 1988 20 Year Old,,4.0
Yamazaki 25 Year Old Sherry Cask,5,12.0
Hakushu 18 Year Old,4.5,685.0
Karuizawa 1981 Cask #103,,15.0
Yoichi 20 Year Old,5,3.0
Yoichi 10 Year Old,4.5,399.0
Yamazaki 10 Year Old Bot.2000s,,550.0
